"","geo_id","NAME","lon","lat","pop_density","pop_dens_log","density_label"
"3186","1400000US36111955300","9553",-74.3706557851799,42.0542994115086,23.6469494915875,3.20465313995391,1
"3187","1400000US36093033500","335",-73.9569385664652,42.8093018647793,2959.17543526573,7.99300381423264,2
"3188","1400000US36059405900","4059",-73.6611018304024,40.6899792826479,8083.55166029409,8.9977103172014,2
"3189","1400000US36059406001","4060.01",-73.6537589373756,40.7009006100587,10437.0176633315,9.2532099644161,2
"3190","1400000US36059406002","4060.02",-73.6496542046639,40.6959509179257,9690.05824801422,9.17895890924318,2
"3191","1400000US36059406100","4061",-73.6471419367507,40.7080856583478,8094.57081684634,8.9990723783689,2
"3192","1400000US36059517102","5171.02",-73.6233099449413,40.8779155366112,3928.47707563068,8.27626163637413,2
"3193","1400000US36059517301","5173.01",-73.6163751723759,40.8679398073647,3323.30483878373,8.10901586018907,2
"3194","1400000US36037951200","9512",-77.9826649166888,42.9812847733794,703.564223620094,6.55757948917109,2
"3195","1400000US36037951400","9514",-78.3280033991637,42.9127852658885,65.2229960704513,4.19302777528847,1
"3196","1400000US36037950700","9507",-78.1928287534055,42.9933561784594,2189.40330399339,7.69184096293032,2
"3197","1400000US36067011900","119",-76.366600608766,43.1182171640124,126.4109982684,4.84741806804933,1
"3198","1400000US36059517302","5173.02",-73.6062784687792,40.8602053620873,5865.06298016805,8.67693898595573,2
"3199","1400000US36059517400","5174",-73.6503922783543,40.8462956995821,2568.0783759905,7.85130250500983,2
"3200","1400000US36059517500","5175",-73.6370342046765,40.8282435545664,3149.37355772643,8.05527631454289,2
"3201","1400000US36037951000","9510",-78.1679663734788,42.9888382070566,2263.04350682251,7.72490765593283,2
"3202","1400000US36027110003","1100.03",-73.6337700618884,41.5627602665607,179.498451240826,5.19572219735289,1
"3203","1400000US36059408100","4081",-73.5553501068071,40.7061091396238,7531.83587803439,8.9270268605227,2
"3204","1400000US36027170000","1700",-73.691836495306,41.8884167774956,73.1289344754686,4.30580593483632,1
"3205","1400000US36027180001","1800.01",-73.6852652465232,41.6905449385228,122.715104489172,4.81798137775798,1
"3206","1400000US36059408200","4082",-73.5541464028134,40.7191360709023,7826.46642671005,8.96539416404541,2
"3207","1400000US36059408300","4083",-73.5376381623767,40.7140318478084,8131.22201697032,9.00358947601972,2
"3208","1400000US36059408400","4084",-73.563455471879,40.6936953421416,6693.97121280052,8.80911195831028,2
"3209","1400000US36059408500","4085",-73.5434857508185,40.6998799843305,7816.99459210406,8.96418335462895,2
"3210","1400000US36059408600","4086",-73.5328884607053,40.7367928646393,7492.92333705867,8.92184774939187,2
"3211","1400000US36059408700","4087",-73.5254467815722,40.73979273492,9432.51078001888,9.15202360538901,2
"3212","1400000US36059409000","4090",-73.5003706106387,40.7265798185534,6376.03928543042,8.76045920678405,2
"3213","1400000US36059517902","5179.02",-73.5075640048621,40.9176258509684,252.361622885189,5.53481780766136,1
"3214","1400000US36059302600","3026",-73.7018591632716,40.731901761546,13507.9873083071,9.51111046947018,3
"3215","1400000US36059414100","4141",-73.5907781895528,40.6687074990719,10614.7766885318,9.27009654042265,3
"3216","1400000US36059517701","5177.01",-73.5633674974264,40.8340925523162,546.093575820969,6.3046198587617,2
"3217","1400000US36059520900","5209",-73.4756989530303,40.6979377494273,6714.63704604198,8.81219397356283,2
"3218","1400000US36027210101","2101.01",-73.9665156220959,41.5118208175492,3640.36417806647,8.20011366461456,2
"3219","1400000US36109002100","21",-76.3452159603167,42.5220422928652,136.209869142611,4.92151164523109,1
"3220","1400000US36109000300","3",-76.4675023304511,42.4475236716425,1917.18826665258,7.55913640842214,2
"3221","1400000US36109001100","11",-76.4863634161045,42.4100155536887,903.078037707175,6.80691568156371,2
"3222","1400000US36109001800","18",-76.5926304724,42.330044710576,75.1965956431351,4.3333167850953,1
"3223","1400000US36109000700","7",-76.5001854975184,42.451130312711,6274.43686335447,8.74439838123473,2
"3224","1400000US36109001400","14",-76.3913739797811,42.4462431073574,167.779671405562,5.12859414484774,1
"3225","1400000US36109002200","22",-76.3368703472495,42.5876876958766,136.49913324288,4.92361761339861,1
"3226","1400000US36109001700","17",-76.6351200815703,42.43619255026,89.0390272822744,4.50024321280686,1
"3227","1400000US36059518000","5180",-73.5312242937785,40.8687818330188,4222.16470372524,8.34834005576593,2
"3228","1400000US36059518100","5181",-73.5288524195848,40.8495234740014,2569.18819681886,7.85173440354239,2
"3229","1400000US36059518203","5182.03",-73.4697012982777,40.8267840645876,1647.7907170664,7.40779739944541,2
"3230","1400000US36059518204","5182.04",-73.4710563849232,40.8074528386852,2064.56718539054,7.63316013373001,2
"3231","1400000US36059518400","5184",-73.4918911533495,40.8233116180668,3584.90496532142,8.18476615223036,2
"3232","1400000US36059518501","5185.01",-73.5517308219592,40.7856534789796,2593.6812653366,7.86121896159632,2
"3233","1400000US36059518502","5185.02",-73.5255130634401,40.7828720929359,7003.79652145208,8.85435041073353,2
"3234","1400000US36063022200","222",-78.9658332495602,43.0731668278919,2555.15407470326,7.84625909329854,2
"3235","1400000US36059404901","4049.01",-73.7220974405235,40.7022043590193,11675.5198024139,9.36533524986059,3
"3236","1400000US36059416300","4163",-73.7281498091207,40.5858370848839,1392.15815056412,7.2393284996859,2
"3237","1400000US36059410600","4106",-73.6910160060929,40.6703765991532,12112.1916761658,9.40205035889605,3
"3238","1400000US36109001000","10",-76.5509328831967,42.4124043015893,391.947225787346,5.97367531732377,2
"3239","1400000US36109001500","15",-76.4740805305614,42.5069296425923,336.24634898767,5.82081366919582,1
"3240","1400000US36109000100","1",-76.4984906520105,42.4396502842495,10044.7389834735,9.21490384183762,2
"3241","1400000US36109000600","6",-76.501329037761,42.4774415284521,902.662390029151,6.80645582828061,2
"3242","1400000US36089490800","4908",-75.0113362643947,44.6311466536149,112.18291155377,4.72900519636821,1
"3243","1400000US36059518600","5186",-73.5271661770764,40.7931612799411,4083.17766030163,8.3148756798814,2
"3244","1400000US36059518700","5187",-73.5065599829533,40.8037166636051,3677.34413584076,8.21021796681246,2
"3245","1400000US36059518800","5188",-73.5006839182997,40.7939070335488,4387.2593259082,8.38668791853404,2
"3246","1400000US36059520600","5206",-73.4374402216005,40.7143844244974,7873.65794101574,8.97140502668897,2
"3247","1400000US36059520700","5207",-73.470138572651,40.7137447957146,7423.28213654901,8.91251127705064,2
"3248","1400000US36059520800","5208",-73.4709782267705,40.7077106584924,6824.33398660978,8.82839655462285,2
"3249","1400000US36059521000","5210",-73.4596340880108,40.6972595213527,4224.64625375463,8.34892748756272,2
"3250","1400000US36059521100","5211",-73.4706593009185,40.6884052700701,7264.37516636139,8.89087521491352,2
"3251","1400000US36063022300","223",-78.9670742609117,43.0852816407766,4961.59122755468,8.50968330821281,2
"3252","1400000US36059521301","5213.01",-73.4728690636872,40.6719533627974,4072.2037077763,8.31218512058294,2
"3253","1400000US36059521302","5213.02",-73.4786635097744,40.6571108243266,5385.23634849765,8.59160215441723,2
"3254","1400000US36059521500","5215",-73.4445831770572,40.6979478601302,9369.33789285347,9.14530443571926,2
"3255","1400000US36059521602","5216.02",-73.44335341637,40.6852704647232,7625.70432175944,8.93941109410707,2
"3256","1400000US36059521700","5217",-73.4541803617899,40.6665696657545,5565.00400984954,8.62443266250411,2
"3257","1400000US36063022500","225",-78.9512927090179,43.0929815472968,4934.89748532519,8.50428979659426,2
"3258","1400000US36063022401","224.01",-78.9525637266277,43.0831327919539,2801.84046450159,7.9383886335627,2
"3259","1400000US36059406201","4062.01",-73.6418613222881,40.6923417411951,4286.83958882223,8.36353829272772,2
"3260","1400000US36059406202","4062.02",-73.6492994590351,40.6775332036341,4844.31601035736,8.48576774621384,2
"3261","1400000US36059406400","4064",-73.6517767359675,40.7297914631149,3573.54314823163,8.18159265625774,2
"3262","1400000US36059406501","4065.01",-73.6394991164433,40.719945875398,3948.15424899525,8.28125672079104,2
"3263","1400000US36059406600","4066",-73.6247231781678,40.734161244851,4011.54040974613,8.29717983835233,2
"3264","1400000US36059406900","4069",-73.6140593794331,40.7159444974034,18292.397253234,9.81429546788922,3
"3265","1400000US36059517600","5176",-73.6180177438816,40.844917527107,2785.02548395443,7.93237130144595,2
"3266","1400000US36059517705","5177.05",-73.576667115621,40.8083943951607,434.180964026323,6.07576195383674,2
"3267","1400000US36059517802","5178.02",-73.5882496479128,40.878265367362,3881.07402000727,8.26412483104003,2
"3268","1400000US36027070201","702.01",-73.9315618121169,41.7750911577953,644.650468447393,6.47025828683626,2
"3269","1400000US36027190204","1902.04",-73.8802180153394,41.5855034996528,1565.26633096406,7.35644993294862,2
"3270","1400000US36027050102","501.02",-73.8371411641704,41.5812432770336,1034.99640950728,6.94311895708685,2
"3271","1400000US36027210201","2102.01",-73.9778483035931,41.4973456659951,3073.25554741782,8.03081805252936,2
"3272","1400000US36027040001","400.01",-73.5633109167868,41.7142357410131,160.789968607548,5.08629900398514,1
"3273","1400000US36027050205","502.05",-73.7382170322088,41.5351390386831,285.49589476108,5.65772420712048,1
"3274","1400000US36027060100","601",-73.9692288066077,41.5325403085471,1234.54762110751,7.11926956868223,2
"3275","1400000US36027010000","100",-73.5533724687794,41.8241962739107,87.547700887584,4.48354139988933,1
"3276","1400000US36027140801","1408.01",-73.9358777923544,41.6076266242789,617.332182672343,6.42702582546443,2
"3277","1400000US36027140700","1407",-73.8988872514177,41.6347086590242,1584.69582147801,7.36877859406435,2
"3278","1400000US36027020005","200.05",-73.6933704094333,41.5834251486009,365.50953087497,5.90402452610446,1
"3279","1400000US36027080103","801.03",-73.820720261938,41.6974512345794,342.910397148154,5.84038115003778,1
"3280","1400000US36027140400","1404",-73.9015267359331,41.6587656245506,1308.99425172769,7.17777802819144,2
"3281","1400000US36027190203","1902.03",-73.8920643477726,41.6077635312526,785.856490425907,6.66804588163191,2
